"","places"
"1","Abdera"
"2","Academy of Plato (Athens)"
"3","Aegina"
"4","Aeolis"
"5","Aethiopia"
"6","Aetna M."
"7","Agrigentum"
"8","Alexandria at Egypt"
"9","Alpheios river"
"10","Amphiareion"
"11","Amphipolis"
"12","Ancient Egypt (region)"
"13","Asia"
"14","Assos"
"15","Athenae"
"16","Boeotia"
"17","Borboros"
"18","Borysthenes (Olbia)"
"19","Bosporus"
"20","Calauria"
"21","Caria"
"22","Carthago"
"23","Carystus"
"24","Chalcedon"
"25","Chalcis"
"26","Chios (island)"
"27","Cilicia"
"28","Clazomenae"
"29","Cnidos"
"30","Cnossos"
"31","Colophon"
"32","Corinth"
"33","Creta"
"34","Crotone"
"35","Cyprus"
"36","Cyrene"
"37","Cyzicus"
"38","Delium"
"39","Delos"
"40","Delphi"
"41","Elea"
"42","Elis"
"43","Eretria"
"44","Hades (Place)"
"45","Halicarnassus"
"46","Hellas"
"47","Heraclea"
"48","Iasos"
"49","Ida"
"50","India"
"51","Ionia region (Asia Minor)"
"52","Isthmus"
"53","Italy"
"54","Katane"
"55","Kos"
"56","Lampsacus"
"57","Lepreum"
"58","Lesbos"
"59","Lucania"
"60","Lyceum (Athens)"
"61","Lysimachia"
"62","Macedonia"
"63","Magnesia"
"64","Mantinea"
"65","Maronea"
"66","Megara (Attica)"
"67","Megara Hyblaea"
"68","Memphis (Egypt)"
"69","Messene"
"70","Metapontum"
"71","Miletus"
"72","Mitylene"
"73","Munichia"
"74","Nestos (river)"
"75","Olympian Zeus sanctuary (Eleia)"
"76","Oropus"
"77","Peloponnesus"
"78","Persia"
"79","Phlius"
"80","Phoenicia"
"81","Phthia"
"82","Piraeus"
"83","Pitane"
"84","Pontus"
"85","Potidaea"
"86","Propontis"
"87","Red Sea"
"88","Rhodos (island)"
"89","Salamis"
"90","Samos"
"91","Sardis"
"92","Sicily"
"93","Skillous"
"94","Skythai"
"95","Soli"
"96","Sparta"
"97","Stagira"
"98","Syracuse"
"99","Syria"
"100","Syros"
"101","Taras/Tarentum/Neptunia"
"102","Thebes"
"103","Thurii"
"104","Zancle"
